filename,cluster_label
D002_c_0004841_patch_1_3.png,1
D002_c_0004842_patch_1_2.png,3
D002_c_0004844_patch_2_2.png,1
D002_c_0004845_patch_1_3.png,1
D002_c_0004846_patch_1_2.png,1
D002_c_0004847_patch_1_2.png,4
D002_c_0004848_patch_1_2.png,1
D002_c_0004849_patch_2_2.png,3
D002_c_0004851_patch_1_2.png,1
D002_c_0004856_patch_2_1.png,4
D002_c_0004859_patch_2_2.png,1
D002_c_0004860_patch_2_2.png,1
D002_c_0004863_patch_1_2.png,3
D002_c_0004865_patch_1_3.png,1
D002_c_0004866_patch_2_3.png,3
D002_c_0004868_patch_1_3.png,1
D002_c_0004869_patch_2_3.png,1
D002_c_0004871_patch_2_2.png,1
D002_c_0004875_patch_2_2.png,1
D002_c_0004876_patch_2_1.png,1
D002_c_0004878_patch_1_1.png,1
D002_c_0004879_patch_1_2.png,4
D002_c_0004880_patch_2_1.png,1
D002_c_0004881_patch_2_2.png,1
D002_c_0004882_patch_2_2.png,1
D002_c_0004883_patch_2_2.png,1
D002_c_0004884_patch_2_2.png,1
D002_c_0004887_patch_2_2.png,1
D002_c_0004889_patch_2_2.png,3
D002_c_0004893_patch_2_1.png,1
D002_c_0004897_patch_2_1.png,1
D002_c_0004900_patch_0_1.png,1
D002_c_0004905_patch_2_0.png,1
D002_c_0004906_patch_2_2.png,1
D002_c_0004907_patch_2_2.png,1
D002_c_0004910_patch_1_2.png,1
D002_c_0004911_patch_1_1.png,1
D002_c_0004912_patch_1_1.png,1
D002_c_0004914_patch_1_2.png,1
D002_c_0004915_patch_1_2.png,1
D002_c_0004918_patch_2_2.png,1
D002_c_0004924_patch_2_2.png,1
D002_c_0004929_patch_1_1.png,1
D002_c_0004930_patch_1_3.png,1
D002_c_0004931_patch_1_0.png,1
D002_c_0004935_patch_1_2.png,1
D002_c_0004936_patch_2_2.png,1
D002_c_0004937_patch_1_1.png,1
D003_c_0001954_patch_2_1.png,1
D003_c_0001956_patch_2_1.png,1
D003_c_0002831_patch_2_2.png,1
D003_c_0004160_patch_1_1.png,1
D003_c_0004161_patch_1_1.png,1
D003_c_0004162_patch_2_2.png,1
D003_c_0004164_patch_1_1.png,1
D003_c_0004165_patch_1_1.png,1
D003_c_0004166_patch_1_2.png,1
D003_c_0004168_patch_3_1.png,1
D003_c_0004169_patch_1_1.png,1
D003_c_0004171_patch_2_1.png,1
D003_c_0004172_patch_1_1.png,1
D003_c_0004173_patch_1_2.png,1
D003_c_0004175_patch_2_1.png,3
D003_c_0004176_patch_2_2.png,1
D003_c_0004177_patch_2_1.png,1
D003_c_0004178_patch_2_2.png,1
D003_c_0004179_patch_1_2.png,1
D003_c_0004773_patch_2_1.png,1
D003_c_0004774_patch_2_2.png,1
